source language,target language,translation engine,is preferred engine?
af,nl,Apertium,True
an,ca,Apertium,False
an,es,Apertium,False
ar,mt,Apertium,True
ast,es,Apertium,False
be,ru,Apertium,True
bg,mk,Apertium,True
br,fr,Apertium,False
ca,an,Apertium,False
ca,en,Apertium,False
ca,eo,Apertium,False
ca,es,Apertium,False
ca,fr,Apertium,True
ca,oc,Apertium,True
ca,pt,Apertium,True
ca,simple,Apertium,False
ca,sc,Apertium,True
crh-latn,tr,Apertium,False
cy,en,Apertium,False
cy,simple,Apertium,False
da,nb,Apertium,False
da,nn,Apertium,False
da,sv,Apertium,False
en,ca,Apertium,False
en,eo,Apertium,False
en,es,Apertium,False
en,gl,Apertium,True
en,sh,Apertium,False
eo,en,Apertium,False
eo,simple,Apertium,False
es,an,Apertium,False
es,ast,Apertium,False
es,ca,Apertium,True
es,en,Apertium,False
es,eo,Apertium,False
es,fr,Apertium,True
es,gl,Apertium,True
es,it,Apertium,True
es,oc,Apertium,False
es,pt,Apertium,True
es,simple,Apertium,False
eu,en,Apertium,False
eu,es,Apertium,False
eu,simple,Apertium,False
fr,ca,Apertium,False
fr,eo,Apertium,False
fr,es,Apertium,False
fr,oc,Apertium,True
gl,en,Apertium,False
gl,es,Apertium,False
gl,pt,Apertium,True
gl,simple,Apertium,False
hi,ur,Apertium,True
id,ms,Apertium,True
is,en,Apertium,False
is,simple,Apertium,False
is,sv,Apertium,True
it,ca,Apertium,False
it,es,Apertium,False
it,sc,Apertium,True
kk,tt,Apertium,True
mk,bg,Apertium,True
mk,sr,Apertium,True
ms,id,Apertium,True
mt,ar,Apertium,True
nb,da,Apertium,False
nb,nn,Apertium,False
nb,sv,Apertium,False
nl,af,Apertium,True
nn,da,Apertium,False
nn,nb,Apertium,False
nn,sv,Apertium,False
oc,ca,Apertium,False
oc,es,Apertium,False
pt,ca,Apertium,True
pt,es,Apertium,False
pt,gl,Apertium,False
pl,szl,Apertium,False
ro,es,Apertium,False
ru,be,Apertium,False
ru,uk,Apertium,False
se,nb,Apertium,False
sh,en,Apertium,False
sh,simple,Apertium,False
sh,sl,Apertium,True
simple,ca,Apertium,False
simple,eo,Apertium,False
simple,es,Apertium,False
simple,gl,Apertium,False
simple,sh,Apertium,False
sl,sh,Apertium,False
sl,sr,Apertium,True
sv,da,Apertium,True
sv,is,Apertium,True
sv,nb,Apertium,False
sv,nn,Apertium,False
szl,pl,Apertium,False
tt,kk,Apertium,True
ur,hi,Apertium,True
ca,eu,Elia,True
ca,fr,Elia,False
ca,simple,Elia,False
en,ca,Elia,False
en,es,Elia,False
en,eu,Elia,True
en,fr,Elia,False
en,gl,Elia,False
es,eu,Elia,True
es,fr,Elia,False
es,simple,Elia,False
eu,ca,Elia,False
eu,es,Elia,False
eu,fr,Elia,False
eu,gl,Elia,False
eu,simple,Elia,False
fr,ca,Elia,False
fr,es,Elia,False
fr,eu,Elia,True
fr,gl,Elia,False
fr,simple,Elia,False
gl,eu,Elia,True
gl,fr,Elia,False
gl,simple,Elia,False
simple,ca,Elia,False
simple,es,Elia,False
simple,eu,Elia,False
simple,fr,Elia,False
simple,gl,Elia,False
en,as,Flores,False
en,ast,Flores,False
en,ay,Flores,False
en,ba,Flores,False
en,ckb,Flores,False
en,ha,Flores,False
en,ig,Flores,True
en,ilo,Flores,False
en,is,Flores,True
en,kg,Flores,False
en,ln,Flores,False
en,lg,Flores,False
en,nso,Flores,False
en,oc,Flores,True
en,om,Flores,False
en,ss,Flores,False
en,tn,Flores,False
en,ts,Flores,False
en,wo,Flores,False
en,yue,Flores,False
en,zh,Flores,False
en,zu,Flores,False
ca,oc,Flores,False
es,as,Flores,False
es,ast,Flores,False
es,ay,Flores,False
es,ba,Flores,False
es,ckb,Flores,False
es,ha,Flores,False
es,ig,Flores,False
es,ilo,Flores,False
es,is,Flores,False
es,kg,Flores,False
es,ln,Flores,False
es,lg,Flores,False
es,nso,Flores,False
es,oc,Flores,False
es,om,Flores,False
es,ss,Flores,False
es,ti,Flores,False
es,tn,Flores,False
es,ts,Flores,False
es,yue,Flores,False
es,zh,Flores,False
es,zu,Flores,False
fr,as,Flores,False
fr,ast,Flores,False
fr,ay,Flores,False
fr,ba,Flores,False
fr,ckb,Flores,False
fr,ha,Flores,False
fr,ig,Flores,False
fr,ilo,Flores,False
fr,is,Flores,False
fr,kg,Flores,False
fr,ln,Flores,False
fr,lg,Flores,False
fr,nso,Flores,False
fr,oc,Flores,False
fr,om,Flores,False
fr,ss,Flores,False
fr,ti,Flores,False
fr,tn,Flores,False
fr,ts,Flores,False
fr,wo,Flores,False
fr,yue,Flores,False
fr,zh,Flores,False
fr,zu,Flores,False
pt,oc,Flores,False
ru,ba,Flores,False
zh,yue,Flores,False
af,am,Google,False
af,ar,Google,False
af,arz,Google,False
af,as,Google,False
af,ay,Google,False
af,az,Google,False
af,be,Google,False
af,be-tarask,Google,False
af,bg,Google,False
af,bho,Google,False
af,bm,Google,False
af,bn,Google,False
af,bs,Google,False
af,ca,Google,False
af,ceb,Google,False
af,ckb,Google,False
af,co,Google,False
af,cs,Google,False
af,cy,Google,False
af,da,Google,False
af,de,Google,False
af,dv,Google,False
af,ee,Google,False
af,el,Google,False
af,en,Google,False
af,eo,Google,False
af,es,Google,False
af,et,Google,False
af,eu,Google,False
af,fa,Google,False
af,fi,Google,False
af,fr,Google,False
af,fy,Google,False
af,ga,Google,False
af,gan,Google,False
af,gd,Google,False
af,gl,Google,False
af,gn,Google,False
af,gom,Google,False
af,gu,Google,False
af,ha,Google,False
af,haw,Google,False
af,he,Google,False
af,hi,Google,False
af,hr,Google,False
af,ht,Google,False
af,hu,Google,False
af,hy,Google,False
af,id,Google,False
af,ig,Google,False
af,ilo,Google,False
af,is,Google,False
af,it,Google,False
af,ja,Google,False
af,jv,Google,False
af,ka,Google,False
af,kk,Google,False
af,km,Google,False
af,kn,Google,False
af,ko,Google,False
af,ku,Google,False
af,ky,Google,False
af,la,Google,False
af,lb,Google,False
af,lg,Google,False
af,ln,Google,False
af,lo,Google,False
af,lt,Google,False
af,lv,Google,False
af,mai,Google,False
af,mg,Google,False
af,mi,Google,False
af,mk,Google,False
af,ml,Google,False
af,mn,Google,False
af,mni,Google,False
af,mr,Google,False
af,ms,Google,False
af,mt,Google,False
af,my,Google,False
af,ne,Google,False
af,nl,Google,False
af,no,Google,False
af,nso,Google,False
af,ny,Google,False
af,om,Google,False
af,or,Google,False
af,pa,Google,False
af,pl,Google,False
af,ps,Google,False
af,pt,Google,False
af,qu,Google,False
af,ro,Google,False
af,ru,Google,False
af,rw,Google,False
af,sa,Google,False
af,sd,Google,False
af,sh,Google,False
af,si,Google,False
af,simple,Google,False
af,sk,Google,False
af,sl,Google,False
af,sm,Google,False
af,sn,Google,False
af,so,Google,False
af,sq,Google,False
af,sr,Google,False
af,st,Google,False
af,su,Google,False
af,sv,Google,False
af,sw,Google,False
af,ta,Google,False
af,te,Google,False
af,tg,Google,False
af,th,Google,False
af,ti,Google,False
af,tk,Google,False
af,tl,Google,False
af,tr,Google,False
af,ts,Google,False
af,tt,Google,False
af,tw,Google,False
af,ug,Google,False
af,uk,Google,False
af,ur,Google,False
af,uz,Google,False
af,vi,Google,False
af,wuu,Google,False
af,xh,Google,False
af,yi,Google,False
af,yo,Google,False
af,yue,Google,False
af,zh,Google,True
af,zu,Google,False
am,af,Google,False
am,ar,Google,False
am,arz,Google,False
am,as,Google,False
am,ay,Google,False
am,az,Google,False
am,be,Google,False
am,be-tarask,Google,False
am,bg,Google,False
am,bho,Google,False
am,bm,Google,False
am,bn,Google,False
am,bs,Google,False
am,ca,Google,False
am,ceb,Google,False
am,ckb,Google,False
am,co,Google,False
am,cs,Google,False
am,cy,Google,False
am,da,Google,False
am,de,Google,False
am,dv,Google,False
am,ee,Google,False
am,el,Google,False
am,en,Google,False
am,eo,Google,False
am,es,Google,False
am,et,Google,False
am,eu,Google,False
am,fa,Google,False
am,fi,Google,False
am,fr,Google,False
am,fy,Google,False
am,ga,Google,False
am,gan,Google,False
am,gd,Google,False
am,gl,Google,False
am,gn,Google,False
am,gom,Google,False
am,gu,Google,False
am,ha,Google,False
am,haw,Google,False
am,he,Google,False
am,hi,Google,False
am,hr,Google,False
am,ht,Google,False
am,hu,Google,False
am,hy,Google,False
am,id,Google,False
am,ig,Google,False
am,ilo,Google,False
am,is,Google,False
am,it,Google,False
am,ja,Google,False
am,jv,Google,False
am,ka,Google,False
am,kk,Google,False
am,km,Google,False
am,kn,Google,False
am,ko,Google,False
am,ku,Google,False
am,ky,Google,False
am,la,Google,False
am,lb,Google,False
am,lg,Google,False
am,ln,Google,False
am,lo,Google,False
am,lt,Google,False
am,lv,Google,False
am,mai,Google,False
am,mg,Google,False
am,mi,Google,False
am,mk,Google,False
am,ml,Google,False
am,mn,Google,False
am,mni,Google,False
am,mr,Google,False
am,ms,Google,False
am,mt,Google,False
am,my,Google,False
am,ne,Google,False
am,nl,Google,False
am,no,Google,False
am,nso,Google,False
am,ny,Google,False
am,om,Google,False
am,or,Google,False
am,pa,Google,False
am,pl,Google,False
am,ps,Google,False
am,pt,Google,False
am,qu,Google,False
am,ro,Google,False
am,ru,Google,False
am,rw,Google,False
am,sa,Google,False
am,sd,Google,False
am,sh,Google,False
am,si,Google,False
am,simple,Google,False
am,sk,Google,False
am,sl,Google,False
am,sm,Google,False
am,sn,Google,False
am,so,Google,False
am,sq,Google,False
am,sr,Google,False
am,st,Google,False
am,su,Google,False
am,sv,Google,False
am,sw,Google,False
am,ta,Google,False
am,te,Google,False
am,tg,Google,False
am,th,Google,False
am,ti,Google,False
am,tk,Google,False
am,tl,Google,False
am,tr,Google,False
am,ts,Google,False
am,tt,Google,False
am,tw,Google,False
am,ug,Google,False
am,uk,Google,False
am,ur,Google,False
am,uz,Google,False
am,vi,Google,False
